Tweets,Case_Folding,Data_Cleaning,without_stopwords,Tokenizing,tweet_normalized,stemmed
"@Askrlfess yang kamu pesen vouchernya masihan
kalau shopeefood yang ada di bawah koin https://t.co/gKZeWLTVr7","@askrlfess yang kamu pesen vouchernya masihan
kalau shopeefood yang ada di bawah koin https://t.co/gkzewltvr7",yang kamu pesen vouchernya masihan kalau shopeefood yang ada di bawah koin,pesen vouchernya masihan shopeefood koin,"['pesen', 'vouchernya', 'masihan', 'shopeefood', 'koin']",pesan vouchernya masihan shopeefood koin,"['pesan', 'vouchernya', 'masih', 'shopeefood', 'koin']"
@Askrlfess Maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,@askrlfess maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,maaf nder kayanya km order shopeefood beli voucher cashback doang,"['maaf', 'nder', 'kayanya', 'km', 'order', 'shopeefood', 'beli', 'voucher', 'cashback', 'doang']",maaf nder kayanya km order shopeefood beli voucher cashback doang,"['maaf', 'nder', 'kaya', 'km', 'order', 'shopeefood', 'beli', 'voucher', 'cashback', 'doang']"
"@Askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja","@askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja",ini bukan shopeefood nder itu cuman voucher nha aja,shopeefood nder cuman voucher nha,"['shopeefood', 'nder', 'cuman', 'voucher', 'nha']",shopeefood nder hanya voucher nha,"['shopeefood', 'nder', 'hanya', 'voucher', 'nha']"
"@ShopeeCare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? Dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver. https://t.co/L4s5AQmAfS","@shopeecare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver. https://t.co/l4s5aqmafs",tgl pesen shopeefood tapi aneh ya padahal titik driver nya belum di lokasi penjual tapi di di driver klik ambil dan di menit yg sama di selesaikan dan pesanan tidak saya terima fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver,tgl pesen shopeefood aneh titik driver lokasi penjual driver klik ambil menit selesaikan pesanan terima fitur hubungi driver konfirmasi driver,"['tgl', 'pesen', 'shopeefood', 'aneh', 'titik', 'driver', 'lokasi', 'penjual', 'driver', 'klik', 'ambil', 'menit', 'selesaikan', 'pesanan', 'terima', 'fitur', 'hubungi', 'driver', 'konfirmasi', 'driver']",tgl pesan shopeefood aneh titik driver lokasi penjual driver klik ambil menit selesaikan pesanan terima fitur hubungi driver konfirmasi driver,"['tgl', 'pesan', 'shopeefood', 'aneh', 'titik', 'driver', 'lokasi', 'jual', 'driver', 'klik', 'ambil', 'menit', 'selesai', 'pesan', 'terima', 'fitur', 'hubung', 'driver', 'konfirmasi', 'driver']"
@fimegasari Apalagi gaada shopeefood:(,@fimegasari apalagi gaada shopeefood:(,apalagi gaada shopeefood,gaada shopeefood,"['gaada', 'shopeefood']",gaada shopeefood,"['gaada', 'shopeefood']"
@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn,@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn,id kapan buka pendaftaran merchant lagi minnnnnn,id buka pendaftaran merchant minnnnnn,"['id', 'buka', 'pendaftaran', 'merchant', 'minnnnnn']",id buka pendaftaran merchant minnnnnn,"['id', 'buka', 'daftar', 'merchant', 'minnnnnn']"
top up uangku ordernya di shopeefood,top up uangku ordernya di shopeefood,top up uangku ordernya di shopeefood,top up uangku ordernya shopeefood,"['top', 'up', 'uangku', 'ordernya', 'shopeefood']",top up uangku ordernya shopeefood,"['top', 'up', 'uang', 'order', 'shopeefood']"
"@in_rd_sa @ezash Astaga Dog :’))

Senja nitip lapak jualan Senja : Ricebox Wagyu, available di Jakarta dsk, bisa dipesan via GoFood/GrabFood/ShopeeFood (search : senjayummy). https://t.co/RgyLXHQgtM","@in_rd_sa @ezash astaga dog :’))

senja nitip lapak jualan senja : ricebox wagyu, available di jakarta dsk, bisa dipesan via gofood/grabfood/shopeefood (search : senjayummy). https://t.co/rgylxhqgtm",rdsa astaga dog senja nitip lapak jualan senja ricebox wagyu available di jakarta dsk bisa dipesan via gofoodgrabfoodshopeefood search senjayummy,rdsa astaga dog senja nitip lapak jualan senja ricebox wagyu available jakarta dsk dipesan via gofoodgrabfoodshopeefood search senjayummy,"['rdsa', 'astaga', 'dog', 'senja', 'nitip', 'lapak', 'jualan', 'senja', 'ricebox', 'wagyu', 'available', 'jakarta', 'dsk', 'dipesan', 'via', 'gofoodgrabfoodshopeefood', 'search', 'senjayummy']",rdsa astaga dog senja nitip lapak jualan senja ricebox wagyu available jakarta dsk dipesan via gofoodgrabfoodshopeefood search senjayummy,"['rdsa', 'astaga', 'dog', 'senja', 'nitip', 'lapak', 'jual', 'senja', 'ricebox', 'wagyu', 'available', 'jakarta', 'dsk', 'pes', 'via', 'gofoodgrabfoodshopeefood', 'search', 'senjayummy']"
yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,pake alamat gue sp anjr shopeefood sm gojek dateng mulu risihh,"['pake', 'alamat', 'gue', 'sp', 'anjr', 'shopeefood', 'sm', 'gojek', 'dateng', 'mulu', 'risihh']",pake alamat saya sp anjr shopeefood sm gojek datang mulu risihh,"['pake', 'alamat', 'saya', 'sp', 'anjr', 'shopeefood', 'sm', 'gojek', 'datang', 'mulu', 'risihh']"
"BEAR BOBBA LOWOKWARU

Cinnamon Roll Macchiato 18K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

🌐 https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#BTS https://t.co/kvnyQpieh8","bear bobba lowokwaru

cinnamon roll macchiato 18k #bigcup22oz
50% disc #shopeefood #grabfood #gofood

🌐 https://t.co/6fpladgvld

#infokulinermalang
#laporlaper
#kulinerhitsmalang
#malangculinary
#malangkuliner
#bobamalang
#kopimalang 
#estehmalang
#mojitomalang
#grab
#gojek
#bts https://t.co/kvnyqpieh8",bear bobba lowokwaru cinnamon roll macchiato k disc,bear bobba lowokwaru cinnamon roll macchiato k disc,"['bear', 'bobba', 'lowokwaru', 'cinnamon', 'roll', 'macchiato', 'k', 'disc']",bear bobba lowokwaru cinnamon roll macchiato k disc,"['bear', 'bobba', 'lowokwaru', 'cinnamon', 'roll', 'macchiato', 'k', 'disc']"
kok mcd di shopeefood ga ada menu butter caramel,kok mcd di shopeefood ga ada menu butter caramel,kok mcd di shopeefood ga ada menu butter caramel,mcd shopeefood menu butter caramel,"['mcd', 'shopeefood', 'menu', 'butter', 'caramel']",mcd shopeefood menu butter caramel,"['mcd', 'shopeefood', 'menu', 'butter', 'caramel']"
"di ShopeeFood aja
*Ayam Gacor - Menteng Atas* https://t.co/cuPipXNGbG","di shopeefood aja
*ayam gacor - menteng atas* https://t.co/cupipxngbg",di shopeefood aja ayam gacor menteng atas,shopeefood ayam gacor menteng,"['shopeefood', 'ayam', 'gacor', 'menteng']",shopeefood ayam gacor menteng,"['shopeefood', 'ayam', 'gacor', 'menteng']"
"di ShopeeFood aja
*Ayam Gacor - Menteng Atas* @ Ayam Gacor Menteng Atas https://t.co/3hpmFsEVcY","di shopeefood aja
*ayam gacor - menteng atas* @ ayam gacor menteng atas https://t.co/3hpmfsevcy",di shopeefood aja ayam gacor menteng atas ayam gacor menteng atas,shopeefood ayam gacor menteng ayam gacor menteng,"['shopeefood', 'ayam', 'gacor', 'menteng', 'ayam', 'gacor', 'menteng']",shopeefood ayam gacor menteng ayam gacor menteng,"['shopeefood', 'ayam', 'gacor', 'menteng', 'ayam', 'gacor', 'menteng']"
"Setelah 40 menit bolak-balik shopee, grab, gofood buat nyari diskonan ya akhirnya ke ShopeeFood aja pesen nasi paddington","setelah 40 menit bolak-balik shopee, grab, gofood buat nyari diskonan ya akhirnya ke shopeefood aja pesen nasi paddington",setelah menit bolakbalik shopee grab gofood buat nyari diskonan ya akhirnya ke shopeefood aja pesen nasi paddington,menit bolakbalik shopee grab gofood nyari diskonan shopeefood pesen nasi paddington,"['menit', 'bolakbalik', 'shopee', 'grab', 'gofood', 'nyari', 'diskonan', 'shopeefood', 'pesen', 'nasi', 'paddington']",menit bolakbalik shopee grab gofood nyari diskonan shopeefood pesan nasi paddington,"['menit', 'bolakbalik', 'shopee', 'grab', 'gofood', 'nyari', 'diskon', 'shopeefood', 'pesan', 'nasi', 'paddington']"
Siapa yg cita citanya namatin game shopeefood,siapa yg cita citanya namatin game shopeefood,siapa yg cita citanya namatin game shopeefood,cita citanya namatin game shopeefood,"['cita', 'citanya', 'namatin', 'game', 'shopeefood']",cita citanya namatin game shopeefood,"['cita', 'cita', 'namatin', 'game', 'shopeefood']"
"@merapi_uncover kayane wes klarifikasi kuwi mas2 e cen kurir shopeefood sing hobby ne mendaki, mung cari sensasi","@merapi_uncover kayane wes klarifikasi kuwi mas2 e cen kurir shopeefood sing hobby ne mendaki, mung cari sensasi",uncover kayane wes klarifikasi kuwi mas e cen kurir shopeefood sing hobby ne mendaki mung cari sensasi,uncover kayane wes klarifikasi kuwi mas e cen kurir shopeefood sing hobby ne mendaki mung cari sensasi,"['uncover', 'kayane', 'wes', 'klarifikasi', 'kuwi', 'mas', 'e', 'cen', 'kurir', 'shopeefood', 'sing', 'hobby', 'ne', 'mendaki', 'mung', 'cari', 'sensasi']",uncover kayane wes klarifikasi kuwi mas e cen kurir shopeefood sing hobby ne mendaki mung cari sensasi,"['uncover', 'kayane', 'wes', 'klarifikasi', 'kuwi', 'mas', 'e', 'cen', 'kurir', 'shopeefood', 'sing', 'hobby', 'ne', 'daki', 'mung', 'cari', 'sensasi']"
"haii! aku jg ada voucher shopeefood nihh~
fee 2k-5k (tergantung voucher yg dipakai yaaa)

yg minat bisa langsung dm yaa^^
jangan lupa mention setelah dm yap #zonauang #zonaba #zonaBU #Zonajajan https://t.co/OyRJ8Iyxmq","haii! aku jg ada voucher shopeefood nihh~
fee 2k-5k (tergantung voucher yg dipakai yaaa)

yg minat bisa langsung dm yaa^^
jangan lupa mention setelah dm yap #zonauang #zonaba #zonabu #zonajajan https://t.co/oyrj8iyxmq",haii aku jg ada voucher shopeefood nihh fee kk tergantung voucher yg dipakai yaaa yg minat bisa langsung dm yaa jangan lupa mention setelah dm yap,haii jg voucher shopeefood nihh fee kk tergantung voucher dipakai yaaa minat langsung dm yaa lupa mention dm yap,"['haii', 'jg', 'voucher', 'shopeefood', 'nihh', 'fee', 'kk', 'tergantung', 'voucher', 'dipakai', 'yaaa', 'minat', 'langsung', 'dm', 'yaa', 'lupa', 'mention', 'dm', 'yap']",haii jg voucher shopeefood nihh fee kk tergantung voucher dipakai yaaa minat langsung dm yaa lupa mention dm yap,"['hai', 'jg', 'voucher', 'shopeefood', 'nihh', 'fee', 'kk', 'gantung', 'voucher', 'pakai', 'yaaa', 'minat', 'langsung', 'dm', 'yaa', 'lupa', 'mention', 'dm', 'yap']"
"HAPPY WEEKEND NASABAH LEMAK TERSAYANG ❤️❤️❤️

Biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋

Gofood ✅
Grabfood ✅
Shopeefood ✅","happy weekend nasabah lemak tersayang ❤️❤️❤️

biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋

gofood ✅
grabfood ✅
shopeefood ✅",happy weekend nasabah lemak tersayang biar weekend nya makin enak mending rebahan di rumah sambil pesen kemayoran gofood grabfood shopeefood,happy weekend nasabah lemak tersayang weekend enak mending rebahan rumah pesen kemayoran gofood grabfood shopeefood,"['happy', 'weekend', 'nasabah', 'lemak', 'tersayang', 'weekend', 'enak', 'mending', 'rebahan', 'rumah', 'pesen', 'kemayoran', 'gofood', 'grabfood', 'shopeefood']",happy weekend nasabah lemak tersayang weekend enak mending rebahan rumah pesan kemayoran gofood grabfood shopeefood,"['happy', 'weekend', 'nasabah', 'lemak', 'sayang', 'weekend', 'enak', 'mending', 'rebah', 'rumah', 'pesan', 'mayor', 'gofood', 'grabfood', 'shopeefood']"
"@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem","@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem",shopeefood aja lebih asik cman martabak ga jual jam segini disini huhu adanya malem,shopeefood asik cman martabak jual jam segini huhu malem,"['shopeefood', 'asik', 'cman', 'martabak', 'jual', 'jam', 'segini', 'huhu', 'malem']",shopeefood asik cman martabak jual jam segini huhu malem,"['shopeefood', 'asik', 'cman', 'martabak', 'jual', 'jam', 'gin', 'huhu', 'malem']"
"hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus
top sakintal, komo martabak spesial mah

#ngebid #shopeefood https://t.co/tpkduDeOiv","hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus
top sakintal, komo martabak spesial mah

#ngebid #shopeefood https://t.co/tpkdudeoiv",hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus top sakintal komo martabak spesial mah,hampura neng ieu mah akang can ngalongok bari mawa bengbeng sa dus top sakintal komo martabak spesial mah,"['hampura', 'neng', 'ieu', 'mah', 'akang', 'can', 'ngalongok', 'bari', 'mawa', 'bengbeng', 'sa', 'dus', 'top', 'sakintal', 'komo', 'martabak', 'spesial', 'mah']",hampura neng ieu mah akang can ngalongok bari mawa bengbeng sa dus top sakintal komo martabak spesial mah,"['hampura', 'neng', 'ieu', 'mah', 'akang', 'can', 'ngalongok', 'bari', 'mawa', 'bengbeng', 'sa', 'dus', 'top', 'sakintal', 'komo', 'martabak', 'spesial', 'mah']"
@RacunBelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,@racunbelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,semenjak shopeefood gojek grab gw unins ckck pengen beli mager banget install gojek ckck,"['semenjak', 'shopeefood', 'gojek', 'grab', 'gw', 'unins', 'ckck', 'pengen', 'beli', 'mager', 'banget', 'install', 'gojek', 'ckck']",semenjak shopeefood gojek grab saya unins ckck pengen beli mager banget install gojek ckck,"['semenjak', 'shopeefood', 'gojek', 'grab', 'saya', 'unins', 'ckck', 'ken', 'beli', 'mager', 'banget', 'install', 'gojek', 'ckck']"
